,idDrink,strDrink,strDrinkAlternate,strDrinkES,strDrinkDE,strDrinkFR,strDrinkZH-HANS,strDrinkZH-HANT,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strCreativeCommonsConfirmed,dateModified
11,13940,69 Special,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",,"Gießen Sie 6 cl. Gin. Füge 12 cl. 7-up hinzu. Füge Zitronensaft für den Geschmack hinzu. Wenn Sie zu schwach sind, füllen Sie das Glas mit mehr 7-Up auf.",,,,https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Gin,7-Up,Lemon juice,,,,,,,,,,,,,2 oz dry ,4 oz ,0.75 oz ,,,,,,,,,,,,,No,2016-08-31 19:44:55
12,14229,747,,,,,,,,,Shot,,Alcoholic,Shot glass,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",,"Gießen Sie kaluha, dann Baileys, dann Frangelico nicht gekühlt und nicht geschichtet -- SERVE!!!!!!!!",,,,https://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,Kahlua,Baileys irish cream,Frangelico,,,,,,,,,,,,,1/3 part ,1/3 part ,1/3 part ,,,,,,,,,,,,,No,2016-08-31 19:28:26
13,178318,747 Drink,,,,,,,,,Cocktail,,Alcoholic,Highball glass,"Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",,,,,,https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg,Vodka,Roses sweetened lime juice,Cranberry Juice,Sprite,,,,,,,,,,,,1 oz,1 oz,1 oz,Top,,,,,,,,,,,,Yes,
14,16108,9 1/2 Weeks,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,,Alle Zutaten in einem Glasmischer vermengen. Abkühlen lassen und in das Cocktailglas abseihen. Mit Erdbeerscheiben garnieren.,,,,https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,,,,,,,2 oz ,1/2 oz ,1 splash ,1 oz ,,,,,,,,,,,,No,2016-08-31 19:48:22
15,17222,A1,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",,"Alle Zutaten in einen Cocktailshaker geben, mischen und über Eis in ein gekühltes Glas servieren.",,,,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,,,,,,,,,,,,No,2017-09-07 21:42:09
16,13501,ABC,,,,,,,,,Shot,,Alcoholic,Shot glass,Layered in a shot glass.,,Schichtaufbau in einem Schnapsglas.,,,,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Amaretto,Baileys irish cream,Cognac,,,,,,,,,,,,,1/3 ,1/3 ,1/3 ,,,,,,,,,,,,,No,2016-08-31 19:32:08
17,17225,Ace,,,,,,,,,Cocktail,,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,,Alle Zutaten in einem Cocktailshaker mit Eis schütteln und dann in einem kalten Glas abseihen.,,,,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,,,,,,No,2017-09-07 22:05:06
18,17837,Adam,,Adam,Adam,Adam,亚当,亞當,"Alcoholic,Holiday",,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.",,,,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,,,,,,,,,,,,,Yes,2016-09-02 11:29:29
19,13938,AT&T,,,,,,,,,Ordinary Drink,,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",,"Wodka und Gin über das Eis gießen, Tonic hinzufügen und umrühren.",,,,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz ,,,,,,,,,,,,,No,2017-04-24 22:00:19
20,14610,ACID,,,,,,,,,Shot,,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,,"Gering den 151 gefolgt von der 101, die mit einer Cola oder Dr. Pepper Chaser serviert wird.",,,,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1 oz Bacardi ,1 oz ,,,,,,,,,,,,,,No,2016-11-15 11:28:37
21,17833,A. J.,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",,,,,,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Applejack,Grapefruit juice,,,,,,,,,,,,,,1 1/2 oz ,1 oz ,,,,,,,,,,,,,,Yes,2016-09-02 11:16:58
22,17839,Affair,,Asunto,Affäre,Affaire,事务,事務,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",,"Gießen Sie Schnaps, Orangensaft und Cranberrysaft über Eis in ein Highball-Glas. Mit Club-Soda überziehen und servieren.",,,,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,,Yes,2016-09-01 10:05:34
23,15106,Apello,,,,,,,,,Other/Unknown,,Non alcoholic,Collins Glass,Stirr. Grnish with maraschino cherry.,,Rühren. Mit Maraschinokirsche garnieren.,,,,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,,,,,4 cl ,3 cl ,1 cl ,1 ,,,,,,,,,,,,No,2016-07-18 22:13:35
24,15266,Avalon,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",,"Füllen Sie ein hohes Glas mit Eis. Legen Sie den Finlandia Wodka, Zitronen- und Apfelsäfte, Pisang Ambon und geben Sie Limonade dazu. Leicht umrühren und mit einer spiralförmigen Gurkenhaut und einer roten Kirsche garnieren. Die Gurke sorgt für Schärfe und sieht attraktiv aus. Dieses von Timo Haimi kreierte Getränk erhielt 1991 den ersten Preis beim Finlandia Wodka Long Drink Wettbewerb.",,,,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,,No,2017-04-24 22:22:11
25,17835,Abilene,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,,,,,,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,,,1 1/2 oz ,2 oz ,3 oz ,,,,,,,,,,,,,Yes,2016-04-29 09:44:25
26,11023,Almeria,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.",,,,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Dark rum,Kahlua,Egg white,,,,,,,,,,,,,2 oz ,1 oz ,1 ,,,,,,,,,,,,,No,2017-01-02 20:16:21
27,17228,Addison,,,,,,,,,Cocktail,,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,,Alle Zutaten vermengen und in ein kaltes Glas abseihen.,,,,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,,,,,,,,,,,,,,No,2017-09-07 22:38:20
28,17836,Acapulco,,Acapulco,Acapulco,Acapulco,阿卡普尔科,阿卡普爾科,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,,Alle Zutaten (außer Minze) mit Eis mischen und schütteln und in ein old-fashioned Glas über Eiswürfel abseihen. Den Minzzweig dazugeben und servieren.,,,,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 ,,,,,,,,,,Yes,2016-09-02 11:26:16
29,17840,Affinity,,Afinidad,Affinität,Affinité,亲和,親和,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",,,,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,,,,,,Yes,2017-09-07 21:44:05
30,11046,Applecar,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,Triple sec,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,No,2017-09-02 23:02:44
31,17180,Aviation,,,,,,,"IBA,Classic",https://www.youtube.com/watch?v=oOHH0GGglyM,Cocktail,Unforgettables,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,,Alle Zutaten in den mit Eis gefüllten Cocktailshaker geben. Gut schütteln und in ein Cocktailglas abseihen. Mit einer Kirsche garnieren.,,,,https://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,,No,2016-11-04 09:55:28
32,11014,Alexander,,,,,,,"IBA,Classic,Dairy",https://www.youtube.com/watch?v=qEhRK_v2w2g,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,,Alle Zutaten mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.,,,,https://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,No,2016-11-04 09:50:39
33,11020,Algonquin,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",,"Alle Zutaten mit Eis mischen und schütteln, Inhalt in ein Cocktailglas abseihen und servieren.",,,,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,,,,,,,,,,,,,No,2017-01-02 20:11:13
34,11021,Allegheny,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,,Alle Zutaten (außer Zitronenschale) mit Eis schütteln und in ein Cocktailglas abseihen. Mit der Drehung der Zitronenschale garnieren und servieren.,,,,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,No,2017-01-02 20:12:14
35,11055,Artillery,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.",,,,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,Sweet Vermouth,Gin,Bitters,,,,,,,,,,,,,1 1/2 tsp ,1 1/2 oz ,2 dashes ,,,,,,,,,,,,,No,2017-04-24 22:02:27
36,12560,Afterglow,,,,,,,,,Cocktail,,Non alcoholic,Highball Glass,Mix. Serve over ice.,,Mischen. Auf Eis servieren.,,,,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,,1 part ,4 parts ,4 parts ,,,,,,,,,,,,,No,2016-07-18 22:07:32
37,12756,Autodafé,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,,Mischen und mit Sodawasser auffüllen. Getrunken von Finnen an einem sonnigen Tag zu jeder Jahreszeit und an jedem Tag.,,,,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Vodka,Lime juice,Soda water,,,,,,,,,,,,,4 cl ,1 dash ,,,,,,,,,,,,,,No,2017-02-20 15:02:08
38,13162,Afternoon,,,,,,,,,Coffee / Tea,,Alcoholic,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",,"In ein passendes Glas geben, ohne Eis. Auf Wunsch mit Sahne überziehen. Direkt serviert.",,,,https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Kahlua,Baileys irish cream,Frangelico,Coffee,Cream,,,,,,,,,,,1 cl ,1 cl ,1 1/2 ,4 cl hot ,,,,,,,,,,,,No,2016-08-31 19:22:57
39,15182,After sex,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,,"Gießen Sie den Wodka und die Sahne über einige Eiswürfel in ein hohes Glas und füllen Sie ihn mit Saft. Damit es voll ist, verzieren Sie die Oberseite des Glases mit einer Grenadine und Zucker.",,,,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,,,,,,,,,,,,,,No,2017-04-24 22:18:22
40,13332,B-53,,,,,,,,,Shot,,Alcoholic,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",,"Schichte die Kahlua, Sambucca und Grand Marnier in dieser Reihenfolge in ein Schnapsglas ein. Besser als B-52",,,,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Kahlua,Sambuca,Grand Marnier,,,,,,,,,,,,,1/3 shot ,1/3 shot ,1/3 shot ,,,,,,,,,,,,,No,2016-04-28 18:53:43
41,15853,B-52,,,,,,,"IBA,NewEra",,Shot,New Era Drinks,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,,Zutaten in ein Schnapsglas schichten. Mit einem Rührstab servieren.,,,,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Baileys irish cream,Grand Marnier,Kahlua,,,,,,,,,,,,,1/3 ,1/3 ,1/4 ,,,,,,,,,,,,,No,2017-09-02 18:07:51
42,17254,Bijou,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
",,In Mischglas mit Eis verrühren und abseihen.,,,,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,,,,,,1 dash,1 oz,1 oz,1 oz,,,,,,,,,,,,No,2017-12-19 18:09:45
43,11149,Boxcar,,,,,,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Sour Glas abseihen.",,,,https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 tsp ,1 ,,,,,,,,,,,No,2017-09-02 16:32:57
44,13222,Big Red,,,,,,,,,Shot,,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,,Zutaten in 1 Schnapsglas gießen.,,,,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Irish cream,Goldschlager,,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,,,No,2015-09-03 03:41:56
45,17195,Bellini,,,,,,,"ContemporaryClassic,IBA",,Ordinary Drink,Contemporary Classics,Alcoholic,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",,"Pfirsichpüree in das gekühlte Sektglas gießen, Sekt hinzufügen. Vorsichtig umrühren.",,,,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne,Peach schnapps,,,,,,,,,,,,,,6 oz ,1 oz ,,,,,,,,,,,,,,No,2017-09-02 16:52:23
46,17210,Bramble,,,,,,,"IBA,NewEra",,Ordinary Drink,New Era Drinks,Alcoholic,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",,"Füllen Sie das Glas mit zerstoßenem Eis. Den Gin, den Zitronensaft und den Sirup dazugeben. Rühren Sie um und gießen Sie dann Brombeerlikör kreisförmig darüber, um einen Marmoriereffekt zu erzielen. Mit zwei Brombeeren und einer Zitronenscheibe garnieren.",,,,https://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,,,,,,4 cl,1.5 cl,1 cl,1.5 cl,,,,,,,,,,,,No,2017-09-02 18:15:26
47,11060,Balmoral,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",,,,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,,,,,,,,,,,,No,2015-09-02 16:04:57
48,11120,Bluebird,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",,"In einem Mischglas, das halb mit Crushed Ice gefüllt ist, den Gin, Triple Sec, Curacao und Bitter vermengen. Gut umrühren. In ein Cocktailglas abseihen und mit Zitronenschale und Kirsche garnieren.",,,,https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,1 ,1 twist of ,,,,,,,,,,Yes,2015-09-02 17:06:11
49,178310,Brooklyn,,,,,,,"Alcoholic,Sweet,DateNight,USA",,Cocktail,,Alcoholic,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,,,,,,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,,,,,,,2 oz,1 oz,1/4 oz,3 dashes,1,,,,,,,,,,,Yes,
