,wine,wine_id,wine_slug,appellation,appellation_slug,color,wine_type,regions,country,classification,vintage,date,is_primeurs,score,confidence_index,journalist_count,lwin,lwin_11
33,"Chateau Doisy Daene, L Extravagant De Doisy Daene, Blanc, Sauternes",50196,chateau-doisy-daene-l-extravagant-de-doisy-daene-blanc-sauternes,Sauternes,sauternes,White,sweet,['Bordeaux'],France,,2005,2015-06-29,False,96.28,B+,7,1016893.0,10168932005.0
34,"Cayuse Vineyards, Armada Vineyard Syrah, Walla Walla Valley",30141,cayuse-vineyards-armada-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2010,2015-06-29,False,96.23,B+,4,,
35,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2008,2015-06-29,False,96.15,A+,5,1135701.0,11357012008.0
36,"Cayuse Vineyards, Armada Vineyard Syrah, Walla Walla Valley",30141,cayuse-vineyards-armada-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2009,2015-06-29,False,96.14,B,5,,
37,"Futo Estate, Oakville",77302,futo-estate-oakville,Oakville,oakville,Red,,['California'],Usa,,2005,2015-06-29,False,96.12,B,3,,
38,"Coche Dury, Les Perrieres, Blanc, Meursault Premier Cru",44394,coche-dury-les-perrieres-blanc-meursault-premier-cru,Meursault Premier Cru,meursault-premier-cru,White,dry,['Bourgogne'],France,,2012,2015-06-29,False,95.98,B+,4,1064780.0,10647802012.0
39,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2009,2015-06-29,False,95.9,A,5,1135701.0,11357012009.0
40,"Cayuse Vineyards, Armada Vineyard Syrah, Walla Walla Valley",30141,cayuse-vineyards-armada-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2004,2015-06-29,False,95.5,B,4,,
41,"Cayuse Vineyards, Armada Vineyard Syrah, Walla Walla Valley",30141,cayuse-vineyards-armada-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2008,2015-06-29,False,95.48,B,5,,
42,"Cayuse Vineyards, Armada Vineyard Syrah, Walla Walla Valley",30141,cayuse-vineyards-armada-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2007,2015-06-29,False,95.31,B,5,,
43,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2006,2015-06-29,False,95.22,B,5,1135701.0,11357012006.0
44,"Giacomo Conterno, Francia, Barolo",148552,giacomo-conterno-francia-barolo,Barolo,barolo,Red,,['Piedmont'],Italy,,2009,2015-06-29,False,95.12,A+,5,1139262.0,11392622009.0
45,"Henschke, Mount Edelstone Shiraz, Eden Valley",83233,henschke-mount-edelstone-shiraz-eden-valley,Eden Valley,eden-valley,Red,,['Australia'],Australia,,2012,2015-06-29,False,95.11,A,4,1002904.0,10029042012.0
46,"Coche Dury, Genevrieres, Blanc, Meursault Premier Cru",44391,coche-dury-genevrieres-blanc-meursault-premier-cru,Meursault Premier Cru,meursault-premier-cru,White,dry,['Bourgogne'],France,,2012,2015-06-29,False,94.9,B,3,1064777.0,10647772012.0
47,"Joseph Phelps Vineyards, Backus Vineyard Cabernet Sauvignon, Oakville",89560,joseph-phelps-vineyards-backus-vineyard-cabernet-sauvignon-oakville,Oakville,oakville,Red,,['California'],Usa,,2005,2015-06-29,False,94.76,B,4,,
48,"Pahlmeyer, Proprietary Red, Napa Valley",111900,pahlmeyer-proprietary-red-napa-valley,Napa Valley,napa-valley,Red,,['California'],Usa,,2005,2015-06-29,False,94.57,A+,4,,
49,"Chateau Hosanna, Pomerol",36775,chateau-hosanna-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2005,2015-06-29,False,94.43,A,9,1011595.0,10115952005.0
50,"Domaine Fourrier, Clos Saint Jacques, Gevrey Chambertin Premier Cru",58398,domaine-fourrier-clos-saint-jacques-gevrey-chambertin-premier-cru,Gevrey Chambertin Premier Cru,gevrey-chambertin-premier-cru,Red,,['Bourgogne'],France,,2011,2015-06-29,False,94.37,B,4,1032329.0,10323292011.0
51,"Domaine Des Comtes Lafon, Genevrieres, Blanc, Meursault Premier Cru",56214,domaine-des-comtes-lafon-genevrieres-blanc-meursault-premier-cru,Meursault Premier Cru,meursault-premier-cru,White,dry,['Bourgogne'],France,,2005,2015-06-29,False,94.36,A+,3,1066003.0,10660032005.0
52,"Brovia, Villero, Barolo",21948,brovia-villero-barolo,Barolo,barolo,Red,,['Piedmont'],Italy,,2010,2015-06-29,False,94.06,B,4,1129137.0,11291372010.0
53,"Schrader Cellars, Rbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",125501,schrader-cellars-rbs-beckstoffer-to-kalon-vineyard-cabernet-sauvignon-napa-valley,Napa Valley,napa-valley,Red,,['California'],Usa,,2005,2015-06-29,False,94.03,B,3,,
54,"Harlan Estate, The Maiden, Napa Valley",81981,harlan-estate-the-maiden-napa-valley,Napa Valley,napa-valley,Red,,['California'],Usa,,2005,2015-06-29,False,93.67,B,4,,
55,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2004,2015-06-29,False,93.54,B+,5,1135701.0,11357012004.0
56,"Bond Estates, Matriarch Red, Napa Valley",19859,bond-estates-matriarch-red-napa-valley,Napa Valley,napa-valley,Red,,['California'],Usa,,2005,2015-06-29,False,93.24,C+,4,,
57,"Domaine Armand Rousseau Pere Et Fils, Clos Saint Jacques, Gevrey Chambertin Premier Cru",51588,domaine-armand-rousseau-pere-et-fils-clos-saint-jacques-gevrey-chambertin-premier-cru,Gevrey Chambertin Premier Cru,gevrey-chambertin-premier-cru,Red,,['Bourgogne'],France,,1993,2015-06-29,False,92.98,C+,3,1057092.0,10570921993.0
58,"Coche Dury, Les Rougeots, Blanc, Meursault",147501,coche-dury-les-rougeots-blanc-meursault,Meursault,meursault,White,dry,['Bourgogne'],France,,2012,2015-06-29,False,92.81,A,5,1064793.0,10647932012.0
59,"Freemark Abbey, 'Bosche' Cabernet Sauvignon, Rutherford",76825,freemark-abbey-bosche-cabernet-sauvignon-rutherford,Rutherford,rutherford,Red,,['California'],Usa,,2005,2015-06-29,False,92.37,C+,3,,
60,"Coche Dury, Volnay Premier Cru",44399,coche-dury-volnay-premier-cru,Volnay Premier Cru,volnay-premier-cru,Red,,['Bourgogne'],France,,2012,2015-06-29,False,92.34,B,3,,
61,"La Fleur De Bouard, Le Plus, Lalande De Pomerol",92659,la-fleur-de-bouard-le-plus-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2005,2015-06-29,False,92.28,B,6,1014277.0,10142772005.0
62,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2001,2015-06-29,False,92.05,B,4,1135701.0,11357012001.0
63,"Domaine Denis Bachelet, Les Corbeaux Vieilles Vignes, Gevrey Chambertin Premier Cru",55949,domaine-denis-bachelet-les-corbeaux-vieilles-vignes-gevrey-chambertin-premier-cru,Gevrey Chambertin Premier Cru,gevrey-chambertin-premier-cru,Red,,['Bourgogne'],France,,2012,2015-06-29,False,92.01,A,6,,
64,"Tenuta San Guido, Guidalberto, Toscana",147407,tenuta-san-guido-guidalberto-toscana,Toscana,toscana,Red,,['Tuscany'],Italy,,2006,2015-06-29,False,91.62,B+,5,1104653.0,11046532006.0
65,"Tenuta San Guido, Guidalberto, Toscana",147407,tenuta-san-guido-guidalberto-toscana,Toscana,toscana,Red,,['Tuscany'],Italy,,2011,2015-06-29,False,91.55,B+,5,1104653.0,11046532011.0
66,"Pahlmeyer, Merlot, Napa Valley",111896,pahlmeyer-merlot-napa-valley,Napa Valley,napa-valley,Red,,['California'],Usa,,2005,2015-06-29,False,91.3,B,3,1122851.0,11228512005.0
67,"Chateau Certan de May, Pomerol",33150,chateau-certan-de-may-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2005,2015-06-29,False,91.29,B+,8,1007909.0,10079092005.0
68,"Shafer Vineyards, One Point Five Cabernet Sauvignon, Stags Leap District",126748,shafer-vineyards-one-point-five-cabernet-sauvignon-stags-leap-district,Stags Leap District,stags-leap-district,Red,,['California'],Usa,,2005,2015-06-29,False,91.19,C+,5,,
69,"Domaine Armand Rousseau Pere Et Fils, Clos Saint Jacques, Gevrey Chambertin Premier Cru",51588,domaine-armand-rousseau-pere-et-fils-clos-saint-jacques-gevrey-chambertin-premier-cru,Gevrey Chambertin Premier Cru,gevrey-chambertin-premier-cru,Red,,['Bourgogne'],France,,2004,2015-06-29,False,91.16,B+,3,1057092.0,10570922004.0
70,"Forman Vineyard, Cabernet Sauvignon, Napa Valley",75322,forman-vineyard-cabernet-sauvignon-napa-valley,Napa Valley,napa-valley,Red,,['California'],Usa,,2005,2015-06-29,False,91.12,B,4,1122040.0,11220402005.0
71,"Domaine Comte Georges De Vogue, Chambolle Musigny",53450,domaine-comte-georges-de-vogue-chambolle-musigny,Chambolle Musigny,chambolle-musigny,Red,,['Bourgogne'],France,,2012,2015-06-29,False,91.06,B,5,1026797.0,10267972012.0
72,"Clos Les Lunelles, Castillon Cotes De Bordeaux",43954,clos-les-lunelles-castillon-cotes-de-bordeaux,Castillon Cotes De Bordeaux,castillon-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2005,2015-06-29,False,91.04,A+,4,,
73,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2003,2015-06-29,False,90.88,B,5,1135701.0,11357012003.0
74,"Chateau L'Arrosee, Saint Emilion Grand Cru",36948,chateau-larrosee-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2005,2015-06-29,False,90.85,B,5,1006133.0,10061332005.0
75,"Chateau La Clemence, Pomerol",37118,chateau-la-clemence-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2005,2015-06-29,False,90.59,A,5,1008182.0,10081822005.0
76,"Domaine Denis Bachelet, Vieilles Vignes, Gevrey Chambertin",55952,domaine-denis-bachelet-vieilles-vignes-gevrey-chambertin,Gevrey Chambertin,gevrey-chambertin,Red,,['Bourgogne'],France,,2012,2015-06-29,False,90.55,A+,6,1019298.0,10192982012.0
77,"Vignobles Andre Lurton, Chateau De Cruzeau, Pessac Leognan",139908,vignobles-andre-lurton-chateau-de-cruzeau-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,,2005,2015-06-29,False,90.49,C+,3,,
78,"Cliff Lede Vineyards, Cabernet Sauvignon, Stags Leap District",43378,cliff-lede-vineyards-cabernet-sauvignon-stags-leap-district,Stags Leap District,stags-leap-district,Red,,['California'],Usa,,2005,2015-06-29,False,90.47,B,3,,
79,"Chateau Teyssier, Le Carre, Saint Emilion Grand Cru",94835,chateau-teyssier-le-carre-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2005,2015-06-29,False,90.45,C+,6,,
80,"Chateau Climens, Blanc, Barsac",33283,chateau-climens-blanc-barsac,Barsac,barsac,White,sweet,['Bordeaux'],France,1er Grand Cru Classé en 1855,1985,2015-06-29,False,90.32,C,4,1016691.0,10166911985.0
81,"Chateau Bellefont Belcier, Saint Emilion Grand Cru",32494,chateau-bellefont-belcier-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2005,2015-06-29,False,90.31,A,6,1006768.0,10067682005.0
82,"Chateau Ausone, La Chapelle D'Ausone, Saint Emilion Grand Cru",92393,chateau-ausone-la-chapelle-dausone-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2005,2015-06-29,False,90.24,C,7,1007983.0,10079832005.0
83,"Chateau Vrai Canon Bouche, Canon Fronsac",41782,chateau-vrai-canon-bouche-canon-fronsac,Canon Fronsac,canon-fronsac,Red,,['Bordeaux'],France,,2005,2015-06-29,False,90.21,B,4,,
84,"Chateau Teyssier, Les Asteries, Saint Emilion Grand Cru",95615,chateau-teyssier-les-asteries-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2005,2015-06-29,False,90.17,C+,6,,
85,"La Fleur De Bouard, Lalande De Pomerol",92657,la-fleur-de-bouard-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2005,2015-06-29,False,90.14,A,8,1009831.0,10098312005.0
86,"Yves Et Stephanie Vatelot, Chateau De Reignac, Grand Vin De Reignac, Bordeaux Superieur",146851,yves-et-stephanie-vatelot-chateau-de-reignac-grand-vin-de-reignac-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2005,2015-06-29,False,90.1,B,3,,
87,"Chateau Destieux, Saint Emilion",35202,chateau-destieux-saint-emilion,Saint Emilion,saint-emilion,Red,,['Bordeaux'],France,,2005,2015-06-29,False,90.1,B,7,,
88,"Clos Dubreuil, Saint Emilion",43850,clos-dubreuil-saint-emilion,Saint Emilion,saint-emilion,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.97,B,6,,
89,"Chateau Lafite Rothschild, Carruades De Lafite, Pauillac",37900,chateau-lafite-rothschild-carruades-de-lafite-pauillac,Pauillac,pauillac,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.95,B,7,1007840.0,10078402005.0
90,"Coche Dury, Meursault",44396,coche-dury-meursault,Meursault,meursault,Red,,['Bourgogne'],France,,2012,2015-06-29,False,89.83,B+,3,,
91,"Chateau Marojallia, Margaux",39092,chateau-marojallia-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.79,C+,7,1012808.0,10128082005.0
92,"Chateau Gazin Rocquencourt, Pessac Leognan",35971,chateau-gazin-rocquencourt-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.77,C+,5,,
93,"Clos Badon Thunevin, Saint Emilion Grand Cru",43494,clos-badon-thunevin-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.73,B+,7,,
94,"Tenuta San Guido, Guidalberto, Toscana",147407,tenuta-san-guido-guidalberto-toscana,Toscana,toscana,Red,,['Tuscany'],Italy,,2004,2015-06-29,False,89.68,B,5,1104653.0,11046532004.0
95,"Chateau Grand-Pontet, Saint Emilion Grand Cru",36205,chateau-grand-pontet-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2005,2015-06-29,False,89.63,B,6,1010761.0,10107612005.0
96,"Chateau Haut-Carles, Fronsac",36718,chateau-haut-carles-fronsac,Fronsac,fronsac,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.61,B+,7,,
97,"Clos Du Clocher, Pomerol",43755,clos-du-clocher-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.59,B+,8,,
98,"Chateau Mazeyres, Pomerol",39246,chateau-mazeyres-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.45,B,5,1013137.0,10131372005.0
99,"Chateau Rouget, Pomerol",40570,chateau-rouget-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.43,B,6,1014844.0,10148442005.0
100,"Chateau D'Aiguilhe, Castillon Cotes De Bordeaux",33547,chateau-daiguilhe-castillon-cotes-de-bordeaux,Castillon Cotes De Bordeaux,castillon-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.42,B,10,1123773.0,11237732005.0
101,"Domaine Dujac, Echezeaux Grand Cru",57760,domaine-dujac-echezeaux-grand-cru,Echezeaux Grand Cru,echezeaux-grand-cru,Red,,['Bourgogne'],France,,2003,2015-06-29,False,89.37,B,3,1030572.0,10305722003.0
102,"Chateau La Vieille Cure, Fronsac",37809,chateau-la-vieille-cure-fronsac,Fronsac,fronsac,Red,,['Bordeaux'],France,,2005,2015-06-29,False,89.34,B+,7,1016066.0,10160662005.0
103,"Chateau Dassault, Saint Emilion Grand Cru",33684,chateau-dassault-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2005,2015-06-29,False,89.16,B+,11,1009248.0,10092482005.0
104,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2002,2015-06-29,False,89.13,C+,6,1135701.0,11357012002.0
105,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2000,2015-06-29,False,89.1,B,3,1135701.0,11357012000.0
106,"Miner Family Winery, Stagecoach Vineyard Cabernet Sauvignon, Napa Valley",105876,miner-family-winery-stagecoach-vineyard-cabernet-sauvignon-napa-valley,Napa Valley,napa-valley,Red,,['California'],Usa,,2005,2015-06-29,False,89.06,C+,3,,
107,"Chateau De Fieuzal, Pessac Leognan",34065,chateau-de-fieuzal-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,Grand Cru Classé de Graves,2005,2015-06-29,False,89.05,B+,10,1009756.0,10097562005.0
108,"Chateau Corbin, Saint Emilion Grand Cru",33366,chateau-corbin-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2005,2015-06-29,False,89.02,B+,7,1008759.0,10087592005.0
109,"Chateau Quinault L'Enclos, Saint Emilion Grand Cru",40323,chateau-quinault-lenclos-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2005,2015-06-29,False,89.01,B,8,1014554.0,10145542005.0
110,"Chateau Du Domaine De L'Eglise, Pomerol",35343,chateau-du-domaine-de-leglise-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2005,2015-06-29,False,88.96,A,6,,
111,"Craggy Range, Kidnappers Vineyard Chardonnay, White, Hawkes Bay",47026,craggy-range-kidnappers-vineyard-chardonnay-white-hawkes-bay,Hawkes Bay,hawkes-bay,White,dry,['New Zealand'],New Zealand,,2012,2015-06-29,False,88.92,C,4,,
112,"Chateau Biston Brillette, Moulis En Medoc",32654,chateau-biston-brillette-moulis-en-medoc,Moulis En Medoc,moulis-en-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2005,2015-06-29,False,88.81,A,3,,
