,id,name,nameDisplay,abv,glasswareId,styleId,isOrganic,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,glass.id,glass.name,glass.createDate,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,description,ibu,originalGravity,availableId,foodPairings,available.id,available.name,available.description,year,style.ogMax,srmId,srm.id,srm.name,srm.hex,servingTemperature,servingTemperatureDisplay,style.category.description,style.category.updateDate
10,qGDeH1,2 x 4,2 x 4,8.7,5.0,70.0,N,N,verified,Verified,2012-01-03 02:42:37,2018-11-02 02:15:14,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-large.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-contentAwareLarge.png,5.0,Pint,2012-01-03 02:41:33,70.0,5.0,5.0,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:33:05,"40% Belgian-style Quad Ale aged in brandy barrels with dates and currants added, 60% Belgian-style Dubbel Ale.",,,,,,,,,,,,,,,,,
11,MgdJep,200th Anniversary Export Stout,200th Anniversary Export Stout,6,,24.0,N,N,verified,Verified,2017-09-11 16:56:19,2018-11-02 02:15:14,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-large.png,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-contentAwareLarge.png,,,,24.0,2.0,2.0,Irish Origin Ales,2012-03-21 20:06:45,Foreign (Export)-Style Stout,Export Stout,"As with classic dry stouts, foreign-style stouts have an initial malt sweetness and caramel flavor with a distinctive dry-roasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Bitterness may be high but the perception is often compromised by malt sweetness. Hop aroma and flavor should not be perceived. The perception of fruity esters is low. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",30,60,5.7,9.3,40,40,1.052,1.008,1.02,2012-03-21 20:06:45,2015-04-07 15:23:58,Toffee caramel with subtle chocolate notes. Complex and very smooth with a balance of roasted malt and sweet chocolate.,,,,,,,,,,,,,,,,,
12,ISTT06,2017 Beer Camp,2017 Beer Camp (2017),6.5,,30.0,N,N,verified,Verified,2017-04-11 15:29:50,2018-11-02 02:15:14,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-large.png,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-contentAwareLarge.png,,,,30.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,"At Beer Camp, no beer style is off limits, so we jumped at the idea of doing a Golden IPA using wheat malt for a light, dry body and bold American and experimental hops for intense citrus flavor. The perfect spring seasonal, we invite you to enjoy this year’s Beer Camp encore.",50,,,"Grilled Fish, Blackened Chicken
Sharp Goat Cheese
Lemon Sorbet",,,,2017.0,,,,,,,,,
13,v4KRep,20th Anniversary Imperial Hash IPA on Brett,20th Anniversary Imperial Hash IPA on Brett,9,,31.0,N,N,verified,Verified,2017-02-18 19:42:40,2018-11-02 02:15:14,,,,,,,,,,31.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,"Extremely hop forward with a residual sweetness; golden in color with a haze.The Brettanomyces used is a SweetWater house blend.  As fermentation finishes, the Brett will start to produce its associated acids and phenols, lending a slightly tart finish. The aroma is fruity, herbal, tropical and citrusy, and the Brett gives a nice touch of funk and earthy phenolics.",81,,,,,,,,,,,,,,,,
14,uIgENV,20th Street Ale Citra,20th Street Ale Citra,7.3,5.0,,N,N,verified,Verified,2012-11-17 14:40:19,2018-11-02 02:15:14,https://brewerydb-images.s3.amazonaws.com/beer/uIgENV/upload_Y3uGi9-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/uIgENV/upload_Y3uGi9-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/uIgENV/upload_Y3uGi9-large.png,,,,5.0,Pint,2012-01-03 02:41:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WcP2Ww,20th Street Ale Crystal,20th Street Ale Crystal,7.3,,,N,N,verified,Verified,2012-11-17 14:40:35,2018-11-02 02:15:14,https://brewerydb-images.s3.amazonaws.com/beer/WcP2Ww/upload_fLddgs-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/WcP2Ww/upload_fLddgs-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/WcP2Ww/upload_fLddgs-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HyxQE4,20th Street Ale Magnum,20th Street Ale Magnum,7.3,,,N,N,verified,Verified,2012-11-17 14:40:02,2018-11-02 02:15:14,https://brewerydb-images.s3.amazonaws.com/beer/HyxQE4/upload_ZXeOiC-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/HyxQE4/upload_ZXeOiC-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/HyxQE4/upload_ZXeOiC-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,e9sjBk,21st Anniversary,21st Anniversary,7.9,,57.0,N,N,verified,Verified,2018-04-17 19:19:15,2018-11-02 02:15:14,,,,,,,,,,57.0,5.0,5.0,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Flanders Oud Bruin or Oud Red Ales,Flanders Red,"This light- to medium-bodied deep copper to brown ale is characterized by a slight to strong lactic sourness, and with ""Reds"" sometimes a balanced degree of acetic acid. Brettanomyces produced flavors and aromas are not part of character. A fruity-estery character which is often cherry-like is apparent with no hop flavor or aroma. Flanders brown ales have low to medium bitterness and a cocoa-like character from roast malt. Roasted malt character in aroma and flavor is acceptable at low levels. A very low degree of malt sweetness may be present and in balance with the acidity produced by Lactobacillus activity. Oak-like or woody characters may be pleasantly integrated into overall palate. Chill haze is acceptable at low serving temperatures. Some versions may be more highly carbonated and, when bottle conditioned, may appear cloudy (yeast) when served. These final beers are often blended old with new before packaging in order to create the brewer's intended balance of characters.",15,25,4.8,6.5,12,20,1.044,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:31:39,"For our next few anniversary releases, we’re celebrating the beer mecca of Flanders, Belgium with a little east vs. west showdown. First off is an Oud Bruin (tr. Old Brown), which represents the style from the region of East Flanders. As the name indicates, this is an old style brown ale that uses a blend of microflora: bacteria such as acetobacter, lactobacillus and pediococcus; yeasts such as cultured saccharomyces yeast and brettanomyces wild yeasts to give the beer a specific sourness and funky aroma. We then aged it in American Oak foeders on top of cherries to give it a nice fruity punch that we know you’ll love.",7,,,,,,,,,,,,,,,,
18,YZXVKq,25th Anniversary,25th Anniversary,9.8,,158.0,N,N,verified,Verified,2015-12-11 15:48:31,2018-11-02 02:15:14,,,,,,,,,,158.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Porter,American Imperial Porter,"American-style imperial porters are black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness. Hop bitterness is perceived at a medium-low to medium level. Hop flavor and aroma may vary from being low to medium-high. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment hop character and malt derived sweetness. Diacetyl (butterscotch) levels should be absent.",35,50,5.5,9.5,40,40,1.08,1.02,1.03,2013-08-10 12:42:51,2015-04-07 15:49:32,Twenty Five is a special-release beer celebrating 25 years of craftsmanship from Breckenridge Brewery. Imperial Vanilla Porter Aged In Rum Barrels.,,,,,,,,,1.1,,,,,,,,
19,7z8RTq,3 Weight,3 Weight,4,,164.0,N,N,verified,Verified,2017-07-23 21:47:32,2018-11-02 02:15:14,,,,,,,,,,164.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,2015-04-07 17:07:27,,,,,,,,,,,,,,,,,,,
