,wine,wine_id,wine_slug,appellation,appellation_slug,color,wine_type,regions,country,classification,vintage,date,is_primeurs,score,confidence_index,journalist_count,lwin,lwin_11
10,"Chateau Rouget, Pomerol",40570,chateau-rouget-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2013,2018-03-29,False,87.93,A,13,1014844.0,10148442013.0
11,"Denis Dubourdieu, Clos Floridene, Graves",50211,denis-dubourdieu-clos-floridene-graves,Graves,graves,Red,,['Bordeaux'],France,,2007,2018-03-29,False,87.92,B+,3,1008326.0,10083262007.0
12,"Chateau Haut Bages Liberal, Pauillac",36354,chateau-haut-bages-liberal-pauillac,Pauillac,pauillac,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2006,2018-03-29,False,87.92,A,10,1200560.0,12005602006.0
13,"Chateau La Garde, Pessac Leognan",37391,chateau-la-garde-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.92,A,15,,
14,"Chateau Beychevelle, Saint Julien",32618,chateau-beychevelle-saint-julien,Saint Julien,saint-julien,Red,,['Bordeaux'],France,4eme Grand Cru classé en 1855,2007,2018-03-29,False,87.92,A,12,1007101.0,10071012007.0
15,"Chateau Bourgneuf, Pomerol",32756,chateau-bourgneuf-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2005,2018-03-29,False,87.91,C,8,1176027.0,11760272005.0
16,"Chateau Fonroque, Saint Emilion Grand Cru",35753,chateau-fonroque-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2011,2018-03-29,False,87.91,A,14,1010266.0,10102662011.0
17,"Chateau Trottevieille, Saint Emilion Grand Cru",41523,chateau-trottevieille-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2007,2018-03-29,False,87.91,A,12,1015968.0,10159682007.0
18,"Chateau Cadet Bon, Saint Emilion Grand Cru",32888,chateau-cadet-bon-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2014,2018-03-29,False,87.91,A,12,1007417.0,10074172014.0
19,"Chateau Cheval Blanc, Le Petit Cheval, Saint Emilion Grand Cru",33248,chateau-cheval-blanc-le-petit-cheval-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2013,2018-03-29,False,87.91,A,14,1013951.0,10139512013.0
20,"Chateau Carbonnieux, Pessac Leognan",33075,chateau-carbonnieux-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,Grand Cru Classé de Graves,2011,2018-03-29,False,87.91,B+,17,1007749.0,10077492011.0
21,"Chateau Fleur Cardinale, Saint Emilion Grand Cru",35697,chateau-fleur-cardinale-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2013,2018-03-29,False,87.91,A,13,1009857.0,10098572013.0
22,"Chateau Boutisse, Saint Emilion Grand Cru",32777,chateau-boutisse-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.91,B+,9,,
23,"Chateau Haut-Carles, Fronsac",36718,chateau-haut-carles-fronsac,Fronsac,fronsac,Red,,['Bordeaux'],France,,2007,2018-03-29,False,87.91,A,6,,
24,"Chateau Clauzet, Saint Estephe",33277,chateau-clauzet-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2014,2018-03-29,False,87.91,A,11,,
25,"Bouchard Pere Fils, Clos de la Mousse, Beaune Premier Cru",147435,bouchard-pere-fils-clos-de-la-mousse-beaune-premier-cru,Beaune Premier Cru,beaune-premier-cru,Red,dry,['Bourgogne'],France,,2014,2018-03-29,False,87.9,C,4,,
26,"Chateau Ducru Beaucaillou, Le Petit Caillou, Saint Julien",35558,chateau-ducru-beaucaillou-le-petit-caillou-saint-julien,Saint Julien,saint-julien,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.9,C+,3,,
27,"Chateau Bolaire, Bordeaux Superieur",32698,chateau-bolaire-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2007,2018-03-29,False,87.9,B,5,,
28,"Chateau Puygueraud, Francs Cotes De Bordeaux",40303,chateau-puygueraud-francs-cotes-de-bordeaux,Francs Cotes De Bordeaux,francs-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2010,2018-03-29,False,87.9,A,9,1014525.0,10145252010.0
29,"Clos Du Jaugueyron, Margaux",43772,clos-du-jaugueyron-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.9,C+,6,,
30,"Chateau Le Moulin, Pomerol",38377,chateau-le-moulin-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.89,A,9,,
31,"Chateau Puygueraud, Francs Cotes De Bordeaux",40303,chateau-puygueraud-francs-cotes-de-bordeaux,Francs Cotes De Bordeaux,francs-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2009,2018-03-29,False,87.89,B+,7,1014525.0,10145252009.0
32,"Chateau Desmirail, Margaux",35197,chateau-desmirail-margaux,Margaux,margaux,Red,,['Bordeaux'],France,3eme Grand Cru classé en 1855,2012,2018-03-29,False,87.89,B+,14,1009349.0,10093492012.0
33,"Chateau Grand Puy Ducasse, Pauillac",36163,chateau-grand-puy-ducasse-pauillac,Pauillac,pauillac,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2012,2018-03-29,False,87.89,A,18,1010774.0,10107742012.0
34,"Chateau Destieux, Saint Emilion",35202,chateau-destieux-saint-emilion,Saint Emilion,saint-emilion,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.89,B+,15,,
35,"Chateau Destieux, Saint Emilion",35202,chateau-destieux-saint-emilion,Saint Emilion,saint-emilion,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.89,A,14,,
36,"Baron Philippe De Rothschild, Chateau D'Armailhac, Pauillac",8842,baron-philippe-de-rothschild-chateau-darmailhac-pauillac,Pauillac,pauillac,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2007,2018-03-29,False,87.89,A,14,1223037.0,12230372007.0
37,"Chateau Canon Pecresse, Canon Fronsac",32983,chateau-canon-pecresse-canon-fronsac,Canon Fronsac,canon-fronsac,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.89,B,6,,
38,"Chateau Des Eyrins, Margaux",35088,chateau-des-eyrins-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.88,B+,4,,
39,"Chateau La Croix De Gay, Chateau La Fleur De Gay, Pomerol",37193,chateau-la-croix-de-gay-chateau-la-fleur-de-gay-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2013,2018-03-29,False,87.88,A,8,1009958.0,10099582013.0
40,"Chateau Joanin Becot, Castillon Cotes De Bordeaux",36836,chateau-joanin-becot-castillon-cotes-de-bordeaux,Castillon Cotes De Bordeaux,castillon-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.88,B+,11,,
41,"Bernard Magrez, Chateau Les Grands Chenes, Medoc",11179,bernard-magrez-chateau-les-grands-chenes-medoc,Medoc,medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2014,2018-03-29,False,87.88,B+,12,1010846.0,10108462014.0
42,"Chateau Fayat, Pomerol",35649,chateau-fayat-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2009,2018-03-29,False,87.88,A,8,1177037.0,11770372009.0
43,"Chateau Gloria, Saint Julien",36044,chateau-gloria-saint-julien,Saint Julien,saint-julien,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.88,A,17,1010598.0,10105982011.0
44,"Chateau La Conseillante, Duo De Conseillante, Pomerol",68229,chateau-la-conseillante-duo-de-conseillante-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.88,B+,11,1196665.0,11966652012.0
45,"Chateau Marjosse, Blanc, Entre Deux Mers",39085,chateau-marjosse-blanc-entre-deux-mers,Entre Deux Mers,entre-deux-mers,White,dry,['Bordeaux'],France,,2010,2018-03-29,False,87.88,B,4,,
46,"Chateau Caillou, Blanc, Sauternes",32910,chateau-caillou-blanc-sauternes,Sauternes,sauternes,White,sweet,['Bordeaux'],France,2eme Grand Cru classé en 1855,2005,2018-03-29,False,87.88,B+,8,,
47,"Thunevin, Le Clos Du Beau-Pere, Pomerol",135122,thunevin-le-clos-du-beau-pere-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.88,A,8,,
48,"Clos De La Vieille Eglise, Pomerol",43619,clos-de-la-vieille-eglise-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.87,B+,10,,
49,"Chateau Grand Puy Ducasse, Pauillac",36163,chateau-grand-puy-ducasse-pauillac,Pauillac,pauillac,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2005,2018-03-29,False,87.87,B+,10,1010774.0,10107742005.0
50,"Chateau Lascombes, Margaux",38154,chateau-lascombes-margaux,Margaux,margaux,Red,,['Bordeaux'],France,2eme Grand Cru classé en 1855,2007,2018-03-29,False,87.87,A+,12,1012299.0,10122992007.0
51,"Chateau Rahoul, Graves",40332,chateau-rahoul-graves,Graves,graves,Red,,['Bordeaux'],France,,2005,2018-03-29,False,87.87,B,5,,
52,"Clos Rene, Pomerol",44049,clos-rene-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.87,B+,7,1008472.0,10084722011.0
53,"Chateau La Cardonne, Medoc",37082,chateau-la-cardonne-medoc,Medoc,medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2009,2018-03-29,False,87.87,B,5,,
54,"Chateau Palmer, Alter Ego De Palmer, Margaux",39752,chateau-palmer-alter-ego-de-palmer-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2007,2018-03-29,False,87.86,A,10,1005989.0,10059892007.0
55,"Chateau Branon, Pessac Leognan",32802,chateau-branon-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,,2013,2018-03-29,False,87.86,B+,8,1007299.0,10072992013.0
56,"Chateau Cheval Blanc, Le Petit Cheval, Saint Emilion Grand Cru",33248,chateau-cheval-blanc-le-petit-cheval-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2007,2018-03-29,False,87.86,B,7,1013951.0,10139512007.0
57,"Chateau Bellegrave, Pomerol",32509,chateau-bellegrave-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2010,2018-03-29,False,87.86,A,8,,
58,"Chateau Du Domaine De L'Eglise, Pomerol",35343,chateau-du-domaine-de-leglise-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.85,A+,7,,
59,"Chateau Petit Gravet Aine, Saint Emilion",39902,chateau-petit-gravet-aine-saint-emilion,Saint Emilion,saint-emilion,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.85,B+,6,,
60,"Chateau Lagrange, Les Fiefs De Lagrange, Saint Julien",37952,chateau-lagrange-les-fiefs-de-lagrange-saint-julien,Saint Julien,saint-julien,Red,,['Bordeaux'],France,,2015,2018-03-29,False,87.85,A+,11,1009743.0,10097432015.0
61,"Domaine De La Vougeraie, Chambolle Musigny",55354,domaine-de-la-vougeraie-chambolle-musigny,Chambolle Musigny,chambolle-musigny,Red,,['Bourgogne'],France,,2011,2018-03-29,False,87.85,C,3,,
62,"Chateau Certan de May, Pomerol",33150,chateau-certan-de-may-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2004,2018-03-29,False,87.85,A,8,1007909.0,10079092004.0
63,"Chateau Beau Soleil, Pomerol",32323,chateau-beau-soleil-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2007,2018-03-29,False,87.85,C+,4,,
64,"Chateau Dassault, Saint Emilion Grand Cru",33684,chateau-dassault-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2007,2018-03-29,False,87.85,B+,8,1009248.0,10092482007.0
65,"Chateau Villa Bel Air, Graves",41730,chateau-villa-bel-air-graves,Graves,graves,Red,,['Bordeaux'],France,,2009,2018-03-29,False,87.84,B+,3,,
66,"Chateau La Creation, Pomerol",37165,chateau-la-creation-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2015,2018-03-29,False,87.84,A+,5,,
67,"Chateau Saint Pierre, Saint Julien",40721,chateau-saint-pierre-saint-julien,Saint Julien,saint-julien,Red,,['Bordeaux'],France,4eme Grand Cru classé en 1855,2013,2018-03-29,False,87.84,B+,19,1014961.0,10149612013.0
68,"Chateau Le Moulin, Pomerol",38377,chateau-le-moulin-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2007,2018-03-29,False,87.84,C,3,,
69,"Chateau Couhins, Pessac Leognan",33422,chateau-couhins-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,,2009,2018-03-29,False,87.84,B,5,,
70,"Chateau Le Chemin, Pomerol",38278,chateau-le-chemin-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2010,2018-03-29,False,87.83,A,3,,
71,"Chateau Sergant, Lalande De Pomerol",40879,chateau-sergant-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.83,A+,4,,
72,"Chateau La Clemence, Pomerol",37118,chateau-la-clemence-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.83,A,9,1008182.0,10081822012.0
73,"Chateau Larose Trintaudon, Haut Medoc",38120,chateau-larose-trintaudon-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2014,2018-03-29,False,87.83,B+,8,,
74,"Chateau Peyrabon, Haut Medoc",39958,chateau-peyrabon-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2005,2018-03-29,False,87.83,A,5,,
75,"Vignobles Jean Sorge, Chateau Deyrem Valentin, Margaux",140073,vignobles-jean-sorge-chateau-deyrem-valentin-margaux,Margaux,margaux,Red,,['Bordeaux'],France,Cru Bourgeois,2009,2018-03-29,False,87.83,B,10,,
76,"Chateau Gruaud Larose, Sarget De Gruaud Larose, Saint Julien",36282,chateau-gruaud-larose-sarget-de-gruaud-larose-saint-julien,Saint Julien,saint-julien,Red,,['Bordeaux'],France,,2010,2018-03-29,False,87.83,A,8,1015030.0,10150302010.0
77,"Chateau Mazeyres, Pomerol",39246,chateau-mazeyres-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2010,2018-03-29,False,87.83,B+,8,1013137.0,10131372010.0
78,"Chateau Bellegrave, Pomerol",32509,chateau-bellegrave-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.83,B+,9,,
79,"Chateau Haut Batailley, Pauillac",36373,chateau-haut-batailley-pauillac,Pauillac,pauillac,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2007,2018-03-29,False,87.83,B+,11,1011205.0,10112052007.0
80,"Chateau De Camensac, Haut Medoc",33877,chateau-de-camensac-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2010,2018-03-29,False,87.82,A,17,1007505.0,10075052010.0
81,"Chateau Lafon Rochet, Saint Estephe",37927,chateau-lafon-rochet-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,4eme Grand Cru classé en 1855,2007,2018-03-29,False,87.82,A,14,1011986.0,10119862007.0
82,"Domaine Lignier Michelot, Vieilles Vignes, Chambolle Musigny",61845,domaine-lignier-michelot-vieilles-vignes-chambolle-musigny,Chambolle Musigny,chambolle-musigny,Red,,['Bourgogne'],France,,2011,2018-03-29,False,87.82,B,3,,
83,"Chateau Serilhan, Saint Estephe",40880,chateau-serilhan-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2015,2018-03-29,False,87.82,B,8,,
84,"Chateau La Cabanne, Pomerol",37070,chateau-la-cabanne-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.82,A,15,,
85,"Chateau Gree Laroque, Bordeaux Superieur",36256,chateau-gree-laroque-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2010,2018-03-29,False,87.81,A,8,1222678.0,12226782010.0
86,"Chateau La Croix Du Casse, Pomerol",37223,chateau-la-croix-du-casse-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.81,B+,9,1009004.0,10090042014.0
87,"Chateau Gree Laroque, Bordeaux Superieur",36256,chateau-gree-laroque-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.81,B,8,1222678.0,12226782012.0
88,"Chateau Haut-Marbuzet, Saint Estephe",36740,chateau-haut-marbuzet-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,,2006,2018-03-29,False,87.81,A,10,1011407.0,10114072006.0
89,"Chateau Cos Labory, Saint Estephe",33392,chateau-cos-labory-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2011,2018-03-29,False,87.81,A,16,1008791.0,10087912011.0
90,"E. Guigal, Gigondas",68468,e-guigal-gigondas,Gigondas,gigondas,Red,,['Rhone'],France,,2014,2018-03-29,False,87.81,B,6,,
91,"Chateau Corbin, Saint Emilion Grand Cru",33366,chateau-corbin-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2011,2018-03-29,False,87.81,B,13,1008759.0,10087592011.0
92,"Chateau Maucamps, Haut Medoc",39171,chateau-maucamps-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2014,2018-03-29,False,87.81,A,5,,
93,"Denis Dubourdieu, Chateau Cantegril, Blanc, Sauternes",50192,denis-dubourdieu-chateau-cantegril-blanc-sauternes,Sauternes,sauternes,White,sweet,['Bordeaux'],France,,2010,2018-03-29,False,87.8,B,6,,
94,"Domaine Brusset, Tradition Le Grand Montmirail, Gigondas",52644,domaine-brusset-tradition-le-grand-montmirail-gigondas,Gigondas,gigondas,Red,,['Rhone'],France,,2011,2018-03-29,False,87.8,B,3,,
95,"Chateau Villa Bel Air, Graves",41730,chateau-villa-bel-air-graves,Graves,graves,Red,,['Bordeaux'],France,,2015,2018-03-29,False,87.8,B+,5,,
96,"Chateau Fonroque, Saint Emilion Grand Cru",35753,chateau-fonroque-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2012,2018-03-29,False,87.8,B,15,1010266.0,10102662012.0
97,"Chateau Lamothe Guignard, Blanc, Sauternes",38023,chateau-lamothe-guignard-blanc-sauternes,Sauternes,sauternes,White,sweet,['Bordeaux'],France,2eme Grand Cru classé en 1855,2008,2018-03-29,False,87.8,B+,10,1017177.0,10171772008.0
98,"Chateau Grand Ormeau, Lalande De Pomerol",36153,chateau-grand-ormeau-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2009,2018-03-29,False,87.79,B,3,,
99,"Chateau Beau Soleil, Pomerol",32323,chateau-beau-soleil-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2009,2018-03-29,False,87.79,B+,8,,
100,"Chateau Le Prieure, Saint Emilion Grand Cru",38417,chateau-le-prieure-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.79,B+,9,,
101,"Chateau Bonalgue, Pomerol",32703,chateau-bonalgue-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2009,2018-03-29,False,87.79,A,8,,
102,"Chateau La Conseillante, Pomerol",37148,chateau-la-conseillante-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2002,2018-03-29,False,87.79,B,8,1008746.0,10087462002.0
103,"Chateau La Pointe, Pomerol",37601,chateau-la-pointe-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2001,2018-03-29,False,87.78,B+,7,1014280.0,10142802001.0
104,"Chateau Tayac Plaisance, Margaux",41175,chateau-tayac-plaisance-margaux,Margaux,margaux,Red,,['Bordeaux'],France,Cru Bourgeois,2009,2018-03-29,False,87.78,A,4,,
105,"Chateau Pey La Tour, Reserve Du Chateau, Bordeaux Superieur",39931,chateau-pey-la-tour-reserve-du-chateau-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2015,2018-03-29,False,87.78,A,9,,
106,"Chateau La Lagune, Haut Medoc",37492,chateau-la-lagune-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,3eme Grand Cru classé en 1855,2013,2018-03-29,False,87.78,A,11,1012026.0,10120262013.0
107,"Chateau De Chantegrive, Cuvee Caroline, Blanc, Graves",33978,chateau-de-chantegrive-cuvee-caroline-blanc-graves,Graves,graves,White,dry,['Bordeaux'],France,,2007,2018-03-29,False,87.78,B,4,,
108,"Chateau Gree Laroque, Bordeaux Superieur",36256,chateau-gree-laroque-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.78,A,8,1222678.0,12226782014.0
109,"Chateau Moulinet, Pomerol",39618,chateau-moulinet-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2007,2018-03-29,False,87.78,B,4,1013502.0,10135022007.0
110,"Chateau Pibran, Pauillac",40004,chateau-pibran-pauillac,Pauillac,pauillac,Red,,['Bordeaux'],France,,2005,2018-03-29,False,87.78,B+,8,1014150.0,10141502005.0
111,"Chateau Haut-Marbuzet, Saint Estephe",36740,chateau-haut-marbuzet-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,,2012,2018-03-29,False,87.78,B+,12,1011407.0,10114072012.0
112,"Chateau Pouget, Margaux",40205,chateau-pouget-margaux,Margaux,margaux,Red,,['Bordeaux'],France,4eme Grand Cru classé en 1855,2007,2018-03-29,False,87.77,C+,3,1014336.0,10143362007.0
113,"Chateau Monregard La Croix, Pomerol",39391,chateau-monregard-la-croix-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2015,2018-03-29,False,87.77,B,5,,
114,"Chateau Brane Cantenac, Margaux",32799,chateau-brane-cantenac-margaux,Margaux,margaux,Red,,['Bordeaux'],France,2eme Grand Cru classé en 1855,2003,2018-03-29,False,87.77,B,12,1007286.0,10072862003.0
115,"Chateau Le Prieure, Saint Emilion Grand Cru",38417,chateau-le-prieure-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.77,B+,14,,
116,"Chateau De Camensac, Haut Medoc",33877,chateau-de-camensac-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2008,2018-03-29,False,87.76,A,11,1007505.0,10075052008.0
117,"Chateau Haut-Carles, Fronsac",36718,chateau-haut-carles-fronsac,Fronsac,fronsac,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.76,B,9,,
118,"Chateau Siaurac, Lalande De Pomerol",40888,chateau-siaurac-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2010,2018-03-29,False,87.76,B+,10,1015229.0,10152292010.0
119,"Chateau Leoville Las Cases, Le Petit Lion Du Marquis De Las Cases, Saint Julien",38503,chateau-leoville-las-cases-le-petit-lion-du-marquis-de-las-cases-saint-julien,Saint Julien,saint-julien,Red,,['Bordeaux'],France,,2013,2018-03-29,False,87.76,B+,14,1013993.0,10139932013.0
120,"Chateau Des Eyrins, Margaux",35088,chateau-des-eyrins-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.76,A+,5,,
121,"Chateau Bel-Air La Royere, Blaye Cotes De Bordeaux",32454,chateau-bel-air-la-royere-blaye-cotes-de-bordeaux,Blaye Cotes De Bordeaux,blaye-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2015,2018-03-29,False,87.76,A+,7,,
122,"Chateau Beau Site, Saint Estephe",32322,chateau-beau-site-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2009,2018-03-29,False,87.76,A,7,1006436.0,10064362009.0
123,"Chateau Moulinet, Pomerol",39618,chateau-moulinet-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.76,A+,4,1013502.0,10135022011.0
124,"Chateau Marquis D'Alesme Becker, Margaux",39101,chateau-marquis-dalesme-becker-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2011,2018-03-29,False,87.76,B+,10,1259744.0,12597442011.0
